split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
26,20220707,187.2050,33,731,626,4630
26,20220708,-350.5500,70,689,641,4630
26,20220711,184.8650,49,700,714,4630
26,20220712,716.9200,67,699,741,4630
26,20220713,992.9550,108,678,747,4630
26,20220714,2955.4250,105,687,675,4630
26,20220715,-22.1100,39,758,680,4630
26,20220718,-1122.0200,48,676,691,4630
26,20220719,-79.6600,34,720,774,4630
26,20220720,1002.6950,82,632,794,4630
26,20220721,1340.7300,73,649,693,4630
26,20220722,-1181.6400,86,678,625,4630
26,20220725,253.7150,59,650,737,4630
26,20220726,22.3450,47,518,900,4630
27,20220331,241.0650,44,583,845,4630
27,20220401,1008.7850,66,671,742,4630
27,20220404,-234.7800,22,775,624,4630
27,20220405,452.4850,61,687,714,4630
27,20220406,2259.9800,123,676,761,4630
27,20220407,1395.8600,86,687,739,4630
27,20220408,-586.8800,62,669,769,4630
27,20220411,-92.0800,42,666,750,4630
27,20220412,-970.9950,88,671,757,4630
27,20220413,-631.4250,45,675,752,4630
27,20220414,673.7950,67,693,730,4630
27,20220418,206.3750,75,580,833,4630
27,20220419,48.6350,51,572,861,4630
27,20220420,124.9350,56,544,894,4630
27,20220421,-652.5500,120,554,855,4630
27,20220422,1104.0950,97,522,909,4630
27,20220425,4826.4150,204,649,787,4630
27,20220426,-1494.1350,149,329,1111,4630
27,20220427,-822.3350,204,369,1032,4630
27,20220428,1546.9450,132,166,1272,4630
27,20220727,3914.4400,69,604,837,4630
27,20220728,-859.4700,53,407,992,4630
27,20220729,-160.7300,52,690,745,4630
27,20220801,591.5950,97,698,737,4630
27,20220802,-742.9500,80,680,736,4630
27,20220803,-573.2800,47,663,723,4630
27,20220804,-323.7850,59,714,685,4630
27,20220805,668.2100,71,692,745,4630
27,20220808,1671.9200,67,699,698,4630
27,20220809,82.3850,51,696,672,4630
27,20220810,182.8800,38,685,554,4630
27,20220811,1361.3250,70,689,718,4630
27,20220812,-448.5200,23,888,652,4630
27,20220815,-504.7200,28,796,537,4630
27,20220816,-128.2300,52,714,725,4630
27,20220817,122.7250,85,710,679,4630
27,20220818,-57.0700,43,696,581,4630
27,20220819,179.7950,42,707,685,4630
27,20220822,-320.8300,42,703,724,4630
27,20220823,425.7600,76,709,725,4630
28,20220331,548.5650,44,588,840,4630
28,20220401,475.0350,66,670,743,4630
28,20220404,61.4700,22,724,642,4630
28,20220405,522.4850,61,674,727,4630
28,20220406,2106.2300,123,672,765,4630
28,20220407,1409.6100,86,684,742,4630
28,20220408,564.3700,62,668,770,4630
28,20220411,-130.8300,42,665,751,4630
28,20220412,-1217.2450,88,671,757,4630
28,20220413,159.8250,45,674,753,4630
28,20220414,268.7950,67,679,744,4630
28,20220418,-779.8750,75,574,839,4630
28,20220419,138.6350,51,577,856,4630
28,20220420,279.9350,56,542,896,4630
28,20220421,-1885.0500,120,562,847,4630
28,20220422,-133.4050,97,522,909,4630
28,20220425,3341.4150,204,656,780,4630
28,20220426,-1020.3850,149,367,1073,4630
28,20220427,-893.5850,204,392,1009,4630
28,20220428,2308.1950,132,183,1255,4630
28,20220824,173.5350,41,717,658,4630
28,20220825,887.2950,42,719,687,4630
28,20220826,200.9000,90,655,697,4630
28,20220829,305.2350,86,682,742,4630
28,20220830,501.2300,123,668,744,4630
28,20220831,-621.4300,107,666,770,4630
28,20220901,951.6350,101,673,751,4630
28,20220902,-1879.3050,132,669,764,4630
28,20220906,1742.1250,150,671,742,4630
28,20220907,589.3900,64,674,647,4630
28,20220908,2712.3300,108,701,727,4630
28,20220909,758.0300,53,795,634,4630
28,20220912,674.4500,70,712,621,4630
28,20220913,-967.3050,82,654,697,4630
28,20220914,423.4400,94,675,684,4630
28,20220915,-105.1200,113,548,886,4630
28,20220916,650.2750,90,667,759,4630
28,20220919,1357.7250,85,649,788,4630
28,20220920,909.4600,71,667,755,4630
28,20220921,-3079.4300,182,536,907,4630
29,20220331,358.5650,44,590,838,4630
29,20220401,630.0350,66,671,742,4630
29,20220404,5.2200,22,724,637,4630
29,20220405,567.4850,61,676,725,4630
29,20220406,2407.4800,123,673,764,4630
29,20220407,1719.6100,86,685,741,4630
29,20220408,456.8700,62,668,770,4630
29,20220411,-18.3300,42,666,750,4630
29,20220412,-1182.2450,88,667,761,4630
29,20220413,204.8250,45,673,754,4630
29,20220414,387.5450,67,687,736,4630
29,20220418,-552.3750,75,580,833,4630
29,20220419,171.1350,51,577,856,4630
29,20220420,257.4350,56,553,885,4630
29,20220421,-1687.5500,120,561,848,4630
29,20220422,-170.9050,97,527,904,4630
29,20220425,3431.4150,204,658,778,4630
29,20220426,-1467.8850,149,379,1061,4630
29,20220427,-768.5850,204,406,995,4630
29,20220428,2308.1950,132,182,1256,4630
29,20220922,417.1700,92,671,764,4630
29,20220923,694.6700,92,620,809,4630
29,20220926,405.1000,135,604,830,4630
29,20220927,832.0850,146,660,771,4630
29,20220928,155.8700,87,650,771,4630
29,20220929,-680.0900,116,629,798,4630
29,20220930,-1130.7350,114,610,821,4630
